TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
"293,15","54,5951","74,6121","1,34991",-287258,"365,231","0,00060659",5%
"294,15","54,5836","74,6009","1,31805",-287184,"365,231","0,000608036",5%
"295,15","54,5716","74,5909","1,28724",-287109,"365,231","0,000609469",5%
"296,15","54,559","74,582","1,25743",-287035,"365,231","0,000610889",5%
"297,15","54,5459","74,574","1,22858",-286960,"365,231","0,000612296",5%
"298,15","54,5323","74,567","1,20066",-286885,"365,231","0,00061369",5%
"299,15","54,5181","74,5609","1,17363",-286811,"365,231","0,000615072",5%
"300,15","54,5034","74,5556","1,14746",-286736,"365,231","0,00061644",5%
"301,15","54,4882","74,551","1,12211",-286662,"365,231","0,000617796",5%
"302,15","54,4726","74,5472","1,09755",-286587,"365,231","0,000619139",5%
"303,15","54,4565","74,5441","1,07375",-286513,"365,231","0,00062047",5%
"304,15","54,4399","74,5416","1,05068",-286438,"365,231","0,000621787",5%
"305,15","54,4228","74,5397","1,02832",-286364,"365,231","0,000623092",5%
"306,15","54,4053","74,5384","1,00664",-286289,"365,231","0,000624384",5%
"307,15","54,3873","74,5375","0,985614",-286214,"365,231","0,000625664",5%
"308,15","54,3689","74,5372","0,965217",-286140,"365,231","0,00062693",5%
"309,15","54,3501","74,5374","0,945427",-286065,"365,231","0,000628184",5%
"310,15","54,3308","74,538","0,926221",-285991,"365,231","0,000629425",5%
"311,15","54,3111","74,539","0,907579",-285916,"365,231","0,000630654",5%
"312,15","54,291","74,5404","0,88948",-285842,"365,231","0,00063187",5%
"313,15","54,2705","74,5422","0,871905",-285767,"365,231","0,000633074",5%
"314,15","54,2496","74,5444","0,854836",-285693,"365,231","0,000634265",5%
"315,15","54,2283","74,547","0,838255",-285620,"365,232","0,000635443",5%
"316,15","54,2066","74,5498","0,822144",-285540,"365,232","0,000636609",5%
"317,15","54,1846","74,553","0,806487",-285470,"365,232","0,000637762",5%
"318,15","54,1621","74,5565","0,791269",-285390,"365,232","0,000638902",5%
"319,15","54,1393","74,5603","0,776475",-285320,"365,232","0,000640031",5%
"320,15","54,1161","74,5644","0,762089",-285250,"365,232","0,000641146",5%
"321,15","54,0925","74,5687","0,748099",-285170,"365,232","0,000642249",5%
"322,15","54,0686","74,5734","0,73449",-285100,"365,232","0,00064334",5%
"323,15","54,0443","74,5783","0,72125",-285020,"365,232","0,000644418",5%
"324,15","54,0197","74,5835","0,708367",-284950,"365,232","0,000645484",5%
"325,15","53,9947","74,5889","0,695829",-284870,"365,232","0,000646538",5%
"326,15","53,9694","74,5946","0,683624",-284800,"365,232","0,000647579",5%
"327,15","53,9437","74,6006","0,671742",-284720,"365,232","0,000648607",5%
"328,15","53,9177","74,6068","0,660172",-284650,"365,232","0,000649623",5%
"329,15","53,8914","74,6132","0,648903",-284570,"365,232","0,000650627",5%
"330,15","53,8647","74,6199","0,637927",-284500,"365,232","0,000651619",5%
"331,15","53,8377","74,6269","0,627234",-284420,"365,232","0,000652598",5%
"332,15","53,8103","74,6341","0,616814",-284350,"365,232","0,000653565",5%
"333,15","53,7827","74,6416","0,60666",-284280,"365,232","0,000654519",5%
"334,15","53,7547","74,6494","0,596763",-284200,"365,232","0,000655462",5%
"335,15","53,7264","74,6574","0,587114",-284130,"365,232","0,000656392",5%
"336,15","53,6978","74,6656","0,577706",-284050,"365,232","0,00065731",5%
"337,15","53,6689","74,6742","0,568532",-283980,"365,232","0,000658215",5%
"338,15","53,6397","74,683","0,559584",-283900,"365,232","0,000659109",5%
"339,15","53,6102","74,692","0,550856",-283830,"365,232","0,00065999",5%
"340,15","53,5804","74,7014","0,542341",-283750,"365,232","0,000660859",5%
"341,15","53,5503","74,711","0,534032",-283680,"365,232","0,000661715",5%
"342,15","53,5199","74,721","0,525923",-283600,"365,232","0,00066256",5%
"343,15","53,4892","74,7312","0,518008",-283530,"365,232","0,000663392",5%
"344,15","53,4582","74,7417","0,510282",-283450,"365,232","0,000664213",5%
"345,15","53,4269","74,7525","0,502738",-283380,"365,232","0,000665021",5%
"346,15","53,3954","74,7636","0,495372",-283300,"365,232","0,000665817",5%
"347,15","53,3635","74,7751","0,488178",-283230,"365,232","0,000666601",5%
"348,15","53,3314","74,7868","0,481152",-283160,"365,232","0,000667373",5%
"349,15","53,299","74,7989","0,474288",-283080,"365,232","0,000668133",5%
"350,15","53,2664","74,8113","0,467581",-283010,"365,232","0,000668881",5%
"351,15","53,2334","74,8241","0,461028",-282930,"365,232","0,000669617",5%
"352,15","53,2002","74,8372","0,454623",-282860,"365,232","0,00067034",5%
"353,15","53,1667","74,8506","0,448364",-282780,"365,232","0,000671052",5%
"354,15","53,133","74,8644","0,442244",-282710,"365,232","0,000671752",5%
"355,15","53,099","74,8785","0,436262",-282630,"365,232","0,00067244",5%
"356,15","53,0647","74,893","0,430412",-282560,"365,232","0,000673115",5%
"357,15","53,0302","74,9079","0,424691",-282480,"365,232","0,000673779",5%
"358,15","52,9954","74,9231","0,419096",-282410,"365,232","0,000674431",5%
"359,15","52,9603","74,9388","0,413623",-282330,"365,232","0,000675071",5%
"360,15","52,925","74,9548","0,408268",-282260,"365,232","0,000675699",5%
"361,15","52,8895","74,9712","0,40303",-282180,"365,232","0,000676316",5%
"362,15","52,8537","74,988","0,397903",-282110,"365,232","0,00067692",5%
"363,15","52,8176","75,0052","0,392887",-282030,"365,232","0,000677512",5%
"364,15","52,7813","75,0228","0,387976",-281960,"365,232","0,000678093",5%
"365,15","52,7447","75,0796","0,383169",-281880,"365,232","0,000678662",5%
"366,15","51,223","73,8013","0,600956",-284080,"366,15","0,000691745",5%
"367,15","49,7274","72,465","0,959606",-286380,"367,15","0,000704299",5%
"368,15","48,3744","71,1854","1,49767",-288580,"368,15","0,000715424",5%
"369,15","47,1452","69,9597","2,28726",-290700,"369,15","0,000725348",5%
"370,15","46,0245","68,7855","3,42182",-292720,"370,15","0,000734252",5%
"371,15","44,9989","67,6603","5,01985",-294660,"371,15","0,000742284",5%
"372,15","44,0575","66,5817","7,22831",-296510,"372,15","0,000749561",5%
"373,15","43,1909","65,5476","10,2257",-298290,"373,15","0,000756184",5%
"374,15","42,3909","64,556","14,2246",-300000,"374,15","0,000762234",5%
"375,15","41,6506","63,6049","19,473",-301640,"375,15","0,000767781",5%
"376,15","40,9639","62,6923","26,2549",-303210,"376,15","0,000772882",5%
"377,15","40,3256","61,8166","34,8893",-304710,"377,15","0,000777587",5%
"378,15","39,731","60,976","45,7282",-306160,"378,15","0,00078194",5%
"379,15","39,1761","60,169","59,1525",-307540,"379,15","0,000785977",5%
"380,15","38,6575","59,3941","75,5668",-308880,"380,15","0,00078973",5%
"381,15","38,1717","58,6497","95,3931",-310150,"381,15","0,000793227",5%
"382,15","37,7162","57,9346","119,063",-311380,"382,15","0,000796492",5%
"383,15","37,2884","57,2475","147,008",-312560,"383,15","0,000799548",5%
"293,15","53,7408","73,9352","1,82144",-288392,"365,705","0,000614352",10%
"294,15","53,7296","73,9244","1,77673",-288318,"365,705","0,000615779",10%
"295,15","53,7179","73,9148","1,73352",-288244,"365,705","0,000617193",10%
"296,15","53,7057","73,9061","1,69175",-288170,"365,705","0,000618594",10%
"297,15","53,6929","73,8985","1,65137",-288096,"365,705","0,000619982",10%
"298,15","53,6797","73,8918","1,61231",-288022,"365,705","0,000621358",10%
"299,15","53,666","73,886","1,57453",-287948,"365,705","0,00062272",10%
"300,15","53,6518","73,8809","1,53798",-287874,"365,705","0,00062407",10%
"301,15","53,6371","73,8766","1,5026",-287801,"365,705","0,000625407",10%
"302,15","53,6219","73,8731","1,46835",-287727,"365,705","0,000626731",10%
"303,15","53,6063","73,8701","1,43519",-287653,"365,705","0,000628043",10%
"304,15","53,5902","73,8679","1,40307",-287579,"365,705","0,000629341",10%
"305,15","53,5737","73,8662","1,37196",-287505,"365,705","0,000630627",10%
"306,15","53,5568","73,865","1,34182",-287431,"365,705","0,000631901",10%
"307,15","53,5394","73,8644","1,31261",-287357,"365,705","0,000633162",10%
"308,15","53,5217","73,8642","1,28429",-287284,"365,705","0,00063441",10%
"309,15","53,5035","73,8646","1,25684",-287210,"365,705","0,000635645",10%
"310,15","53,4849","73,8653","1,23021",-287136,"365,705","0,000636868",10%
"311,15","53,4659","73,8665","1,20439",-287062,"365,705","0,000638078",10%
"312,15","53,4465","73,868","1,17934",-286988,"365,705","0,000639276",10%
"313,15","53,4268","73,87","1,15503",-286914,"365,705","0,000640461",10%
"314,15","53,4066","73,8723","1,13143",-286840,"365,705","0,000641633",10%
"315,15","53,3861","73,875","1,10853",-286766,"365,705","0,000642794",10%
"316,15","53,3652","73,8779","1,08629",-286693,"365,705","0,000643941",10%
"317,15","53,3439","73,8812","1,06469",-286619,"365,705","0,000645077",10%
"318,15","53,3223","73,8848","1,04371",-286545,"365,705","0,0006462",10%
"319,15","53,3003","73,8886","1,02333",-286471,"365,705","0,00064731",10%
"320,15","53,2779","73,8928","1,00352",-286397,"365,705","0,000648408",10%
"321,15","53,2552","73,8972","0,984275",-286323,"365,705","0,000649494",10%
