TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
293.15,54.5951,74.6121,1.34991,-287258.0,365.231,0.00060659,0.05
294.15,54.5836,74.6009,1.31805,-287184.0,365.231,0.000608036,0.05
295.15,54.5716,74.5909,1.28724,-287109.0,365.231,0.000609469,0.05
296.15,54.559,74.582,1.25743,-287035.0,365.231,0.000610889,0.05
297.15,54.5459,74.574,1.22858,-286960.0,365.231,0.000612296,0.05
298.15,54.5323,74.567,1.20066,-286885.0,365.231,0.00061369,0.05
299.15,54.5181,74.5609,1.17363,-286811.0,365.231,0.000615072,0.05
300.15,54.5034,74.5556,1.14746,-286736.0,365.231,0.00061644,0.05
301.15,54.4882,74.551,1.12211,-286662.0,365.231,0.000617796,0.05
302.15,54.4726,74.5472,1.09755,-286587.0,365.231,0.000619139,0.05
303.15,54.4565,74.5441,1.07375,-286513.0,365.231,0.00062047,0.05
304.15,54.4399,74.5416,1.05068,-286438.0,365.231,0.000621787,0.05
305.15,54.4228,74.5397,1.02832,-286364.0,365.231,0.000623092,0.05
306.15,54.4053,74.5384,1.00664,-286289.0,365.231,0.000624384,0.05
307.15,54.3873,74.5375,0.985614,-286214.0,365.231,0.000625664,0.05
308.15,54.3689,74.5372,0.965217,-286140.0,365.231,0.00062693,0.05
309.15,54.3501,74.5374,0.945427,-286065.0,365.231,0.000628184,0.05
310.15,54.3308,74.538,0.926221,-285991.0,365.231,0.000629425,0.05
311.15,54.3111,74.539,0.907579,-285916.0,365.231,0.000630654,0.05
312.15,54.291,74.5404,0.88948,-285842.0,365.231,0.00063187,0.05
313.15,54.2705,74.5422,0.871905,-285767.0,365.231,0.000633074,0.05
314.15,54.2496,74.5444,0.854836,-285693.0,365.231,0.000634265,0.05
315.15,54.2283,74.547,0.838255,-285620.0,365.232,0.000635443,0.05
316.15,54.2066,74.5498,0.822144,-285540.0,365.232,0.000636609,0.05
317.15,54.1846,74.553,0.806487,-285470.0,365.232,0.000637762,0.05
318.15,54.1621,74.5565,0.791269,-285390.0,365.232,0.000638902,0.05
319.15,54.1393,74.5603,0.776475,-285320.0,365.232,0.000640031,0.05
320.15,54.1161,74.5644,0.762089,-285250.0,365.232,0.000641146,0.05
321.15,54.0925,74.5687,0.748099,-285170.0,365.232,0.000642249,0.05
322.15,54.0686,74.5734,0.73449,-285100.0,365.232,0.00064334,0.05
323.15,54.0443,74.5783,0.72125,-285020.0,365.232,0.000644418,0.05
324.15,54.0197,74.5835,0.708367,-284950.0,365.232,0.000645484,0.05
325.15,53.9947,74.5889,0.695829,-284870.0,365.232,0.000646538,0.05
326.15,53.9694,74.5946,0.683624,-284800.0,365.232,0.000647579,0.05
327.15,53.9437,74.6006,0.671742,-284720.0,365.232,0.000648607,0.05
328.15,53.9177,74.6068,0.660172,-284650.0,365.232,0.000649623,0.05
329.15,53.8914,74.6132,0.648903,-284570.0,365.232,0.000650627,0.05
330.15,53.8647,74.6199,0.637927,-284500.0,365.232,0.000651619,0.05
331.15,53.8377,74.6269,0.627234,-284420.0,365.232,0.000652598,0.05
332.15,53.8103,74.6341,0.616814,-284350.0,365.232,0.000653565,0.05
333.15,53.7827,74.6416,0.60666,-284280.0,365.232,0.000654519,0.05
334.15,53.7547,74.6494,0.596763,-284200.0,365.232,0.000655462,0.05
335.15,53.7264,74.6574,0.587114,-284130.0,365.232,0.000656392,0.05
336.15,53.6978,74.6656,0.577706,-284050.0,365.232,0.00065731,0.05
337.15,53.6689,74.6742,0.568532,-283980.0,365.232,0.000658215,0.05
338.15,53.6397,74.683,0.559584,-283900.0,365.232,0.000659109,0.05
